date,precip-mm,precip-taf,snow-taf,swe-taf,inflow_unreg-af,rain-taf
2021-12-16,1.1704319715499878,4.211772285977438,2.075178022731972,269.0187324825512,12494.3173828125,2.136594263245466
2021-12-17,10.387584686279297,33.88195196676933,20.110338215740413,287.25173514736036,11714.8955078125,13.771613751028916
2021-12-18,21.154136657714844,78.65424960904153,30.736880830897512,331.5270234463441,11539.900390625,47.91736877814402
2021-12-19,18.92706298828125,69.27007926627911,42.72365421696948,378.97926545395853,11056.494140625,26.546425049309633
2021-12-20,116.43460845947266,397.8000655491549,0.30207985639572144,321.05575722706453,71635.0703125,397.4979856927592
2021-12-21,111.62487030029295,401.2863474837845,0.0,285.766540545635,229446.5,401.2863474837845
2021-12-22,44.13910675048828,145.5358775985156,4.975163822200278,316.83066420425496,234033.5625,140.56071377631534
2021-12-23,2.0330159664154053,8.70181345899551,4.042075092503417,327.59433599431145,108809.4609375,4.659738366492093
2021-12-24,0.4307839870452881,1.5236217333828062,0.6418102688937747,327.2650323861018,61412.82421875,0.8818114644890315
2021-12-25,7.38327169418335,27.675564700688852,1.2406833757214983,331.4295888906272,41594.4765625,26.434881324967353
