date,precip-mm,precip-taf,snow-taf,swe-taf,inflow_unreg-af,rain-taf
2021-12-16,1.1704319715499878,4.211772285977438,2.075178022731972,304.87881236166334,13421.193359375,2.136594263245466
2021-12-17,10.746028900146484,34.7523703663417,20.773137641163558,323.90602097156153,12556.302734375,13.979232725178143
2021-12-18,24.043170928955078,88.39754845103724,35.04004454188524,374.59161239902863,12557.9169921875,53.357503909152
2021-12-19,21.29806137084961,76.89997851138824,48.65943745919858,428.50384000053185,12128.37109375,28.240541052189663
2021-12-20,132.7354736328125,453.4920786333139,0.3443710803985596,366.409081887593,85873.921875,453.14770755291534
2021-12-21,127.25234985351562,457.4664356429775,0.0,329.91192829619234,271995.84375,457.4664356429775
2021-12-22,50.318580627441406,164.78973911413925,5.671686724634623,365.36095633217934,273595.9375,159.11805238950464
2021-12-23,2.0330159664154053,8.70181345899551,4.042075092503417,376.43641972983653,124836.65625,4.659738366492093
2021-12-24,0.4307839870452881,1.5236217333828062,0.6418102688937747,375.7406342430783,69051.359375,0.8818114644890315
2021-12-25,7.38327169418335,27.675564700688852,1.2406833757214983,379.62291970813345,45971.4453125,26.434881324967353
