date,precip-mm,precip-taf,snow-taf,swe-taf,inflow_unreg-af,rain-taf
2021-12-16,1.1704319715499878,4.211772285977438,3.0384908155269104,481.0044184146532,9079.96875,1.1732814704505277
2021-12-17,10.387584686279297,33.88195196676933,24.640736404321427,503.0837924765186,8592.2236328125,9.241215562447902
2021-12-18,21.154136657714844,78.65424960904153,47.69395267422174,557.4934803113416,8265.81640625,30.960296934819787
2021-12-19,18.92706298828125,69.27007926627911,51.4690417773664,609.9285785914261,7867.083984375,17.801037488912712
2021-12-20,116.43460845947266,397.8000655491549,3.4870486199940807,602.6937216976878,62837.09375,394.3130169291608
2021-12-21,111.62487030029295,401.2863474837845,1.6199033707380297,627.2326785841228,196635.421875,399.66644411304645
2021-12-22,44.13910675048828,145.5358775985156,31.623560024788603,678.1445393950219,191486.921875,113.91231757372701
2021-12-23,2.0330159664154053,8.70181345899551,5.535160001373932,692.4667624647739,79352.875,3.1666534576215772
2021-12-24,0.4307839870452881,1.5236217333828062,0.9068210260835434,692.9954729626382,43463.17578125,0.6168007072992627
2021-12-25,7.38327169418335,27.675564700688852,6.5140746804460035,702.3430974525345,29886.08984375,21.161490020242848
